iter	RMSE
1807	69932.80627
1808	69909.28828
1809	69890.10863
1810	69871.54093
1811	69858.28215
1812	69844.09491
1813	69822.86888
1814	69811.39076
1815	69797.29001
1816	69780.55482
1817	69767.04328
1818	69757.93509
1819	69748.94704
1820	69736.3075
1821	69719.63685
1822	69702.71959
1823	69691.70766
1824	69674.95642
1825	69656.71219
1826	69640.44736
1827	69629.45725
1828	69621.23967
1829	69610.45524
1830	69598.12695
1831	69579.22418
1832	69566.41048
1833	69555.26835
1834	69539.70588
1835	69522.09241
1836	69509.16681
1837	69494.40606
1838	69470.13711
1839	69459.55224
1840	69441.08808
1841	69430.4279
1842	69419.79938
1843	69393.95021
1844	69381.85192
1845	69363.83305
1846	69345.1241
1847	69333.2839
1848	69311.74315
1849	69290.60342
1850	69278.91864
1851	69270.89507
1852	69263.44818
1853	69252.72559
1854	69238.31585
1855	69218.24811
1856	69206.48606
1857	69199.36922
1858	69180.54411
1859	69167.46431
1860	69156.43011
1861	69133.09122
1862	69125.79583
1863	69110.21762
1864	69093.21625
1865	69074.55659
1866	69064.03766
1867	69050.31144
1868	69043.0958
1869	69035.92079
1870	69024.41846
1871	69005.80369
1872	68986.78215
1873	68968.73518
1874	68953.69412
1875	68943.55265
1876	68931.10682
1877	68920.70914
1878	68902.20788
1879	68891.29103
1880	68875.61218
1881	68865.12007
1882	68854.60982
1883	68847.28208
1884	68839.82925
1885	68820.31139
1886	68803.58347
1887	68785.56926
1888	68767.292
1889	68751.52241
1890	68741.50264
1891	68729.66418
1892	68708.87486
1893	68696.87791
1894	68678.92239
1895	68669.94137
1896	68657.18244
1897	68646.34016
1898	68639.31994
1899	68630.52121
1900	68624.65503
1901	68617.40988
1902	68609.51429
1903	68602.60592
1904	68586.4929
1905	68575.32867
1906	68561.4697
1907	68546.69613
1908	68532.29126
1909	68520.9971
1910	68508.3022
1911	68496.38877
1912	68475.08087
1913	68457.53767
1914	68450.6605
1915	68440.36863
1916	68428.41771
1917	68411.219
1918	68394.08425
1919	68382.7323
1920	68370.08095
1921	68361.22926
1922	68352.44487
1923	68335.43052
1924	68320.70384
1925	68314.31536
1926	68302.42689
1927	68290.82144
1928	68281.74587
1929	68270.15225
1930	68263.44508
1931	68260.50311
1932	68246.07823
1933	68230.80608
1934	68217.38532
1935	68207.47486
1936	68193.01644
1937	68183.39917
1938	68171.31115
1939	68150.6119
1940	68141.53634
1941	68134.97646
1942	68125.09225
1943	68113.89081
1944	68095.97192
1945	68080.37122
1946	68068.29832
1947	68053.42731
1948	68042.02845
1949	68028.78136
1950	68013.47227
1951	68000.96921
1952	67989.80007
1953	67980.85484
1954	67972.15578
1955	67964.48893
1956	67958.13718
1957	67944.60293
1958	67927.6885
1959	67911.2406
1960	67891.11913
1961	67876.78954
1962	67859.78691
1963	67850.78446
1964	67825.42948
1965	67813.02268
1966	67803.62946
1967	67783.28511
1968	67776.5474
1969	67763.73128
1970	67756.71591
1971	67749.32616
1972	67735.36292
1973	67718.75993
1974	67708.04368
1975	67691.68465
1976	67682.5113
1977	67676.50274
1978	67666.30209
1979	67652.31993
1980	67637.63774
1981	67625.27634
1982	67605.42311
1983	67590.44783
1984	67583.63283
1985	67573.87576
1986	67557.65715
1987	67548.30876
1988	67540.23884
1989	67524.70693
1990	67510.06748
1991	67495.61801
1992	67481.97926
1993	67467.96568
1994	67455.21502
1995	67441.03596
1996	67422.72045
1997	67401.51769
1998	67387.15789
1999	67373.73013
2000	67358.1507
2001	67344.40499
2002	67334.81915
2003	67325.76791
2004	67310.63755
2005	67301.04622
2006	67288.07556
2007	67274.94424
2008	67266.00641
2009	67259.80211
2010	67249.29874
2011	67236.89499
2012	67214.06097
2013	67192.87361
2014	67185.92499
2015	67174.34327
2016	67158.99879
2017	67139.27733
2018	67125.39233
2019	67100.11634
2020	67090.40497
2021	67072.3367
2022	67061.79812
2023	67056.06196
2024	67039.24253
2025	67031.25632
2026	67024.65056
2027	67006.38092
2028	66989.10789
2029	66970.19317
2030	66959.32547
2031	66945.88524
2032	66935.2462
2033	66924.5833
2034	66913.41096
2035	66905.45753
2036	66901.21042
2037	66892.20577
2038	66876.4833
2039	66861.51898
2040	66848.79742
2041	66837.13765
2042	66821.71842
2043	66810.61794
2044	66795.54424
2045	66784.48017
2046	66773.03401
2047	66763.82122
2048	66754.64279
2049	66744.66256
2050	66737.05825
2051	66725.90073
2052	66711.82033
2053	66697.65271
2054	66688.64638
2055	66679.50488
2056	66669.67694
2057	66656.22249
2058	66641.321
2059	66626.57844
2060	66612.42419
2061	66601.54036
2062	66583.54805
2063	66578.9115
2064	66563.26881
2065	66553.55215
2066	66545.80997
2067	66529.71304
2068	66512.39787
2069	66502.43167
2070	66492.21174
2071	66481.76665
2072	66468.85978
2073	66457.14652
2074	66441.71426
